Name,FG Percentage,3-Point Percentage,Free Throw Percentage,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,Playoff FG Perc,Playoff FG Perc,Playoff FT Perc,Playoff Rebounds,Playoff Points
LeBron James,0.531,0.362,0.771,492,387,115,50,213,96,1683,0.5,0.259,0.739,224,697
Dwyane Wade,0.497,0.268,0.791,237,225,82,63,129,110,1082,0.462,0.294,0.729,120,525
Chris Bosh,0.487,0.286,0.821,452,103,51,45,117,128,1025,0.493,0.538,0.827,109,196
Mario Chalmers,0.448,0.388,0.792,171,222,97,11,142,166,627,0.442,0.359,0.717,84,260
Norris Cole,0.393,0.276,0.776,91,133,44,2,105,124,441,0.324,0.25,0.778,10,34
Udonis Haslem,0.423,0,0.814,470,42,35,24,60,142,385,0.455,0,0.743,141,106
Shane Battier,0.387,0.339,0.622,156,82,64,33,37,105,311,0.379,0.382,0.813,74,161
Mike Miller,0.435,0.453,0.4,128,42,14,6,30,58,237,0.404,0.413,0.818,58,120
Joel Anthony,0.559,0,0.69,250,9,36,84,45,126,219,0.586,0,0.8,55,54
James Jones,0.38,0.404,0.833,49,19,17,9,10,45,185,0.372,0.3,1,20,51
Dexter Pittman,0.468,0,0.643,71,9,8,8,17,73,106,0,0,0,0,0
Terrel Harris,0.349,0.205,0.667,51,26,9,2,25,34,80,0.5,0,0.75,3,5
Ronny Turiaf,0.533,0,0.591,58,5,8,14,8,32,45,0.556,0,0.273,31,23
Juwan Howard,0.309,0,0.8,47,10,4,1,20,18,42,0.286,0,0.75,1,7
Eddy Curry,0.462,0,0.75,12,1,0,2,10,17,30,0,0,0,0,0
Mickell Gladness,0.333,0,0,11,2,1,1,3,8,2,0,0,0,0,0
